"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1451","test_api_availability[-DAI-USDT]","tests.basic","Wed Sep 17 17:53:49 GMT 2025","passed","Wed Sep 17 17:53:50 GMT 2025","","test_availability","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1407","test_candle_validity[15m-POL-DAI]","tests.validation","Wed Sep 17 18:06:14 GMT 2025","passed","Wed Sep 17 18:06:16 GMT 2025","","test_price_validation","",""
"","248","test_zero_volume_cases[1w-USDT-POL]","tests.special","Wed Sep 17 17:58:57 GMT 2025","failed","Wed Sep 17 17:58:58 GMT 2025","","test_edge_cases","",""
"","1429","test_response_structure[4h-DAI-POL]","tests.basic","Wed Sep 17 17:55:45 GMT 2025","passed","Wed Sep 17 17:55:46 GMT 2025","","test_data_structure","",""
"","1418","test_date_format_and_range[4h-CES-USDT]","tests.validation","Wed Sep 17 18:03:22 GMT 2025","passed","Wed Sep 17 18:03:24 GMT 2025","","test_date_validation","",""
"","1933","test_volume_positive[4h-POL-CES]","tests.validation","Wed Sep 17 18:07:19 GMT 2025","passed","Wed Sep 17 18:07:21 GMT 2025","","test_volume_validation","",""
"","1424","test_non_empty_data[-USDT-CES]","tests.basic","Wed Sep 17 17:56:45 GMT 2025","passed","Wed Sep 17 17:56:47 GMT 2025","","test_data_structure","",""
"","1425","test_dates_ordered[4h-CES-USDT]","tests.validation","Wed Sep 17 18:00:29 GMT 2025","passed","Wed Sep 17 18:00:31 GMT 2025","","test_date_validation","",""
"","250","test_zero_volume_cases[1w-DAI-POL]","tests.special","Wed Sep 17 17:58:58 GMT 2025","failed","Wed Sep 17 17:58:58 GMT 2025","","test_edge_cases","",""
"","1428","test_non_empty_data[15m-POL-CES]","tests.basic","Wed Sep 17 17:57:47 GMT 2025","passed","Wed Sep 17 17:57:48 GMT 2025","","test_data_structure","",""
"","1417","test_no_duplicate_dates[4h-DAI-USDT]","tests.validation","Wed Sep 17 18:01:53 GMT 2025","passed","Wed Sep 17 18:01:54 GMT 2025","","test_date_validation","",""
"","1931","test_volume_positive[-POL-CES]","tests.validation","Wed Sep 17 18:06:32 GMT 2025","passed","Wed Sep 17 18:06:34 GMT 2025","","test_volume_validation","",""
"Проверяет, что цены в разумных пределах","1405","test_price_ranges[1w-DAI-USDT]","tests.validation","Wed Sep 17 18:04:22 GMT 2025","passed","Wed Sep 17 18:04:23 GMT 2025","","test_price_validation","",""
"","1813","test_no_duplicate_dates[1w-USDT-CES]","tests.validation","Wed Sep 17 18:01:40 GMT 2025","passed","Wed Sep 17 18:01:41 GMT 2025","","test_date_validation","",""
"","1495","test_no_duplicate_dates[1h-POL-USDT]","tests.validation","Wed Sep 17 18:02:02 GMT 2025","passed","Wed Sep 17 18:02:03 GMT 2025","","test_date_validation","",""
"","1402","test_date_format_and_range[1w-DAI-POL]","tests.validation","Wed Sep 17 18:02:58 GMT 2025","passed","Wed Sep 17 18:03:00 GMT 2025","","test_date_validation","",""
"","1431","test_no_duplicate_dates[-DAI-USDT]","tests.validation","Wed Sep 17 18:01:19 GMT 2025","passed","Wed Sep 17 18:01:20 GMT 2025","","test_date_validation","",""
"","1393","test_api_availability[1w-DAI-USDT]","tests.basic","Wed Sep 17 17:54:06 GMT 2025","passed","Wed Sep 17 17:54:07 GMT 2025","","test_availability","",""
"","1433","test_date_format_and_range[1h-CES-DAI]","tests.validation","Wed Sep 17 18:03:43 GMT 2025","passed","Wed Sep 17 18:03:44 GMT 2025","","test_date_validation","",""
"","1357","test_timeframe_consistency_2_weeks[CES-DAI]","tests.consistency","Wed Sep 17 17:58:51 GMT 2025","skipped","Wed Sep 17 17:58:53 GMT 2025","","test_timeframe_consistency","",""
"","1487","test_date_format_and_range[4h-USDT-POL]","tests.validation","Wed Sep 17 18:03:12 GMT 2025","passed","Wed Sep 17 18:03:14 GMT 2025","","test_date_validation","",""
"","1943","test_volume_positive[-POL-DAI]","tests.validation","Wed Sep 17 18:06:28 GMT 2025","passed","Wed Sep 17 18:06:30 GMT 2025","","test_volume_validation","",""
"","1386","test_dates_ordered[1w-USDT-DAI]","tests.validation","Wed Sep 17 18:00:11 GMT 2025","passed","Wed Sep 17 18:00:12 GMT 2025","","test_date_validation","",""
"","1913","test_volume_positive[15m-DAI-CES]","tests.validation","Wed Sep 17 18:08:19 GMT 2025","passed","Wed Sep 17 18:08:21 GMT 2025","","test_volume_validation","",""
"","820","test_inverse_pairs[USDT-CES]","tests.consistency","Wed Sep 17 17:58:06 GMT 2025","passed","Wed Sep 17 17:58:07 GMT 2025","","test_inverse_pairs","",""
"","1427","test_api_availability[4h-POL-DAI]","tests.basic","Wed Sep 17 17:54:18 GMT 2025","passed","Wed Sep 17 17:54:19 GMT 2025","","test_availability","",""
"","1429","test_api_availability[15m-CES-USDT]","tests.basic","Wed Sep 17 17:55:01 GMT 2025","passed","Wed Sep 17 17:55:02 GMT 2025","","test_availability","",""
"","1440","test_dates_ordered[4h-DAI-POL]","tests.validation","Wed Sep 17 18:00:22 GMT 2025","passed","Wed Sep 17 18:00:23 GMT 2025","","test_date_validation","",""
"","1445","test_dates_ordered[15m-CES-POL]","tests.validation","Wed Sep 17 18:01:00 GMT 2025","passed","Wed Sep 17 18:01:01 GMT 2025","","test_date_validation","",""
"","265","test_zero_volume_cases[1w-USDT-CES]","tests.special","Wed Sep 17 17:58:59 GMT 2025","failed","Wed Sep 17 17:59:00 GMT 2025","","test_edge_cases","",""
"","1404","test_api_availability[-USDT-CES]","tests.basic","Wed Sep 17 17:53:53 GMT 2025","passed","Wed Sep 17 17:53:55 GMT 2025","","test_availability","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","390","test_candle_validity[1w-DAI-CES]","tests.validation","Wed Sep 17 18:05:38 GMT 2025","failed","Wed Sep 17 18:05:38 GMT 2025","","test_price_validation","",""
"","1385","test_non_empty_data[1w-POL-CES]","tests.basic","Wed Sep 17 17:56:55 GMT 2025","passed","Wed Sep 17 17:56:57 GMT 2025","","test_data_structure","",""
"","1465","test_non_empty_data[15m-USDT-POL]","tests.basic","Wed Sep 17 17:57:42 GMT 2025","passed","Wed Sep 17 17:57:44 GMT 2025","","test_data_structure","",""
"","1431","test_non_empty_data[15m-DAI-CES]","tests.basic","Wed Sep 17 17:57:57 GMT 2025","passed","Wed Sep 17 17:57:58 GMT 2025","","test_data_structure","",""
"","252","test_zero_volume_cases[4h-CES-DAI]","tests.special","Wed Sep 17 17:59:03 GMT 2025","failed","Wed Sep 17 17:59:03 GMT 2025","","test_edge_cases","",""
"Проверяет, что цены в разумных пределах","1395","test_price_ranges[1h-POL-DAI]","tests.validation","Wed Sep 17 18:04:47 GMT 2025","passed","Wed Sep 17 18:04:49 GMT 2025","","test_price_validation","",""
"","1386","test_response_structure[1w-DAI-USDT]","tests.basic","Wed Sep 17 17:55:32 GMT 2025","passed","Wed Sep 17 17:55:34 GMT 2025","","test_data_structure","",""
"","1419","test_date_format_and_range[-CES-POL]","tests.validation","Wed Sep 17 18:02:44 GMT 2025","passed","Wed Sep 17 18:02:45 GMT 2025","","test_date_validation","",""
"","1425","test_no_duplicate_dates[15m-POL-CES]","tests.validation","Wed Sep 17 18:02:24 GMT 2025","passed","Wed Sep 17 18:02:26 GMT 2025","","test_date_validation","",""
"","1404","test_response_structure[1h-CES-POL]","tests.basic","Wed Sep 17 17:56:05 GMT 2025","passed","Wed Sep 17 17:56:06 GMT 2025","","test_data_structure","",""
"","1417","test_api_availability[1w-POL-USDT]","tests.basic","Wed Sep 17 17:53:58 GMT 2025","passed","Wed Sep 17 17:53:59 GMT 2025","","test_availability","",""
"","2603","test_timeframe_consistency[USDT-POL]","tests.consistency","Wed Sep 17 17:58:11 GMT 2025","passed","Wed Sep 17 17:58:14 GMT 2025","","test_timeframe_consistency","",""
"Проверяет, что цена POL в USDT находится в разумном диапазоне","424","test_pol_usdt_price_range","tests.special","Wed Sep 17 17:59:42 GMT 2025","passed","Wed Sep 17 17:59:42 GMT 2025","","test_pair_specific","",""
"","1424","test_api_availability[15m-POL-DAI]","tests.basic","Wed Sep 17 17:54:52 GMT 2025","passed","Wed Sep 17 17:54:53 GMT 2025","","test_availability","",""
